Sex,Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage,Error Check,Percentage
0,Female,2,1,3,2,1,1,1,3,66,"6600,00%",OK,66.00%
0,Female,2,2,3,2,1,2,4,4,75,"7500,00%",OK,75.00%
0,Female,2,4,4,2,1,3,3,2,71,"7100,00%",OK,71.00%
1,Male,2,0,0,0,0,2,3,3,75,"7500,00%",OK,75.00%
0,Female,2,1,5,1,1,2,4,4,65,"6500,00%",OK,65.00%
0,Female,2,1,5,2,1,1,6,5,87,"8700,00%",OK,87.00%
1,Male,2,1,2,1,1,3,2,3,68,"6800,00%",OK,68.00%
1,Male,2,1,2,1,1,3,3,2,75,"7500,00%",OK,75.00%
0,Female,2,3,3,1,1,2,2,3,86,"8600,00%",OK,86.00%
0,Female,2,3,1,2,1,3,4,5,55,"5500,00%",OK,55.00%
1,Male,2,4,5,5,1,3,4,2,70,"7000,00%",OK,70.00%
0,Female,2,3,3,3,1,2,3,3,80,"8000,00%",OK,80.00%
1,Male,2,2,1,2,1,1,3,3,91,"9100,00%",OK,91.00%
0,Female,2,4,5,1,1,2,4,4,87,"8700,00%",OK,87.00%
1,Male,2,4,5,5,1,4,5,5,86,"8600,00%",OK,86.00%
1,Male,2,4,3,5,1,1,3,3,45,"4500,00%",OK,45.00%
0,Female,2,1,3,1,1,1,4,5,70,"7000,00%",OK,70.00%
0,Female,2,1,1,1,1,1,2,2,60,"6000,00%",OK,60.00%
0,Female,2,4,3,3,1,2,3,3,88,"8800,00%",OK,88.00%
1,Male,2,3,1,2,1,2,4,2,70,"7000,00%",OK,70.00%
1,Male,2,3,5,3,1,3,5,5,57,"5700,00%",OK,57.00%
0,Female,2,1,5,1,1,1,2,2,70,"7000,00%",OK,70.00%
0,Female,2,3,1,2,1,1,4,2,80,"8000,00%",OK,80.00%
0,Female,2,1,4,1,1,1,4,3,70,"7000,00%",OK,70.00%
0,Female,2,2,3,4,1,2,3,3,71,"7100,00%",OK,71.00%
1,Male,2,4,2,5,1,3,5,4,80,"8000,00%",OK,80.00%
0,Female,2,3,1,3,1,1,4,2,80,"8000,00%",OK,80.00%
0,Female,2,2,5,1,1,2,4,2,88,"8800,00%",OK,88.00%
0,Female,2,2,4,2,1,2,4,5,75,"7500,00%",OK,75.00%
1,Male,2,2,1,3,1,2,3,2,70,"7000,00%",OK,70.00%
1,Male,2,3,1,1,1,1,4,5,76,"7600,00%",OK,76.00%
0,Female,2,4,5,1,1,1,4,2,67,"6700,00%",OK,67.00%
0,Female,2,1,5,1,1,3,3,2,75,"7500,00%",OK,75.00%
0,Female,2,4,1,3,1,2,4,3,73,"7300,00%",OK,73.00%
0,Female,2,3,1,3,1,2,2,3,55,"5500,00%",OK,55.00%
1,Male,2,2,2,2,1,2,3,3,87,"8700,00%",OK,87.00%
1,Male,2,0,0,0,0,4,4,2,98,"9800,00%",OK,98.00%
1,Male,2,3,4,1,1,2,3,3,98,"9800,00%",OK,98.00%
0,Female,2,2,2,2,1,4,5,5,97.66,"9766,00%",OK,97.66%
0,Female,2,1,4,1,1,2,4,4,82.5,"8250,00%",OK,82.50%
0,Female,2,2,5,1,1,3,6,5,98.5,"9850,00%",OK,98.50%
1,Male,2,4,1,5,1,3,2,2,40,"4000,00%",OK,40.00%
0,Female,2,0,0,0,0,1,2,2,78.5,"7850,00%",OK,78.50%
0,Female,2,1,4,1,1,3,5,5,94.5,"9450,00%",OK,94.50%
0,Female,2,1,5,1,1,2,4,4,91,"9100,00%",OK,91.00%
0,Female,2,1,5,2,1,1,3,5,90,"9000,00%",OK,90.00%
0,Female,2,1,2,2,1,2,2,2,95.24,"9524,00%",OK,95.24%
1,Male,2,1,5,3,1,2,5,5,70,"7000,00%",OK,70.00%
0,Female,2,2,3,2,1,1,2,3,65.5,"6550,00%",OK,65.50%
0,Female,2,4,4,2,1,3,4,5,80,"8000,00%",OK,80.00%
0,Female,2,0,0,0,0,1,6,6,85.5,"8550,00%",OK,85.50%
0,Female,2,1,5,1,1,3,5,4,75,"7500,00%",OK,75.00%
0,Female,2,1,1,3,1,2,2,4,74,"7400,00%",OK,74.00%
0,Female,2,1,5,1,1,2,2,2,85,"8500,00%",OK,85.00%
0,Female,2,2,4,2,1,3,5,4,90,"9000,00%",OK,90.00%
1,Male,2,2,3,2,1,4,5,4,93.5,"9350,00%",OK,93.50%
0,Female,2,1,2,1,1,1,4,2,65.5,"6550,00%",OK,65.50%
1,Male,2,3,1,5,1,2,2,2,50,"5000,00%",OK,50.00%
0,Female,2,0,0,0,0,2,4,2,90.8,"9080,00%",OK,90.80%
0,Female,2,2,3,2,1,3,4,4,86.7,"8670,00%",OK,86.70%
0,Female,2,2,3,2,1,1,4,2,70,"7000,00%",OK,70.00%
0,Female,2,1,5,2,1,2,2,3,75,"7500,00%",OK,75.00%
0,Female,2,2,2,2,1,2,3,3,60,"6000,00%",OK,60.00%
1,Male,2,1,1,2,1,3,3,3,63,"6300,00%",OK,63.00%
0,Female,3,0,0,0,0,2,2,2,80,"8000,00%",OK,80.00%
0,Female,3,1,5,2,1,3,4,4,74,"7400,00%",OK,74.00%
0,Female,3,0,0,0,0,3,6,4,85,"8500,00%",OK,85.00%
0,Female,3,0,0,0,0,2,4,3,87,"8700,00%",OK,87.00%
1,Male,3,0,0,0,0,4,3,3,65,"6500,00%",OK,65.00%
0,Female,3,0,0,0,0,2,4,2,68,"6800,00%",OK,68.00%
0,Female,3,0,0,0,0,2,5,5,70,"7000,00%",OK,70.00%
0,Female,3,0,0,0,0,3,4,3,75,"7500,00%",OK,75.00%
1,Male,3,4,1,2,1,1,2,2,55,"5500,00%",OK,55.00%
1,Male,3,1,2,1,1,1,4,3,55,"5500,00%",OK,55.00%
0,Female,3,2,4,3,1,2,3,3,50,"5000,00%",OK,50.00%
1,Male,3,0,0,0,0,2,4,4,80,"8000,00%",OK,80.00%
0,Female,3,0,0,0,0,3,4,4,90,"9000,00%",OK,90.00%
1,Male,3,4,3,2,1,3,4,3,50,"5000,00%",OK,50.00%
1,Male,3,0,0,0,0,2,4,2,90,"9000,00%",OK,90.00%
0,Female,3,0,0,0,0,3,6,4,86,"8600,00%",OK,86.00%
0,Female,3,0,0,0,0,2,3,2,65,"6500,00%",OK,65.00%
1,Male,3,1,2,2,1,3,3,3,45,"4500,00%",OK,45.00%
1,Male,3,1,3,1,1,2,4,4,50,"5000,00%",OK,50.00%
0,Female,3,0,0,0,0,2,4,3,85,"8500,00%",OK,85.00%
1,Male,3,0,0,0,0,2,3,3,65,"6500,00%",OK,65.00%
0,Female,3,0,0,0,0,2,3,3,85,"8500,00%",OK,85.00%
0,Female,3,2,3,3,1,3,2,2,70,"7000,00%",OK,70.00%
0,Female,3,2,3,2,1,2,3,3,67,"6700,00%",OK,67.00%
0,Female,3,0,0,0,0,3,3,2,88,"8800,00%",OK,88.00%
1,Male,3,0,0,0,0,1,4,2,70,"7000,00%",OK,70.00%
1,Male,3,0,0,0,0,1,4,4,65,"6500,00%",OK,65.00%
0,Female,3,3,4,3,1,1,3,3,60,"6000,00%",OK,60.00%
1,Male,3,2,3,1,1,2,3,3,85,"8500,00%",OK,85.00%
1,Male,3,3,1,3,1,1,5,4,75,"7500,00%",OK,75.00%
1,Male,3,1,5,2,1,1,2,2,60,"6000,00%",OK,60.00%
1,Male,3,0,0,0,0,2,1,3,65,"6500,00%",OK,65.00%
0,Female,3,2,4,2,1,1,2,2,70,"7000,00%",OK,70.00%
0,Female,3,0,0,0,0,1,2,3,65,"6500,00%",OK,65.00%
0,Female,3,0,0,0,0,2,5,3,60,"6000,00%",OK,60.00%
0,Female,3,3,2,1,1,1,5,4,50,"5000,00%",OK,50.00%
0,Female,3,0,0,0,0,3,3,2,50,"5000,00%",OK,50.00%
0,Female,3,0,0,0,0,2,4,3,86,"8600,00%",OK,86.00%
1,Male,3,4,1,4,1,2,2,2,55,"5500,00%",OK,55.00%
0,Female,3,0,0,0,0,2,2,3,59,"5900,00%",OK,59.00%
0,Female,3,0,0,0,0,1,2,2,55,"5500,00%",OK,55.00%
0,Female,3,1,5,2,1,2,4,4,88,"8800,00%",OK,88.00%
0,Female,3,3,3,2,1,1,4,3,55,"5500,00%",OK,55.00%
0,Female,3,1,2,1,1,1,2,4,60,"6000,00%",OK,60.00%
0,Female,3,1,3,3,1,2,4,4,100,"10000,00%",OK,100.00%
0,Female,3,1,2,1,1,1,3,1,65,"6500,00%",OK,65.00%
0,Female,3,3,3,2,1,2,5,4,70,"7000,00%",OK,70.00%
1,Male,3,1,5,2,1,2,3,1,65,"6500,00%",OK,65.00%
1,Male,3,1,4,3,1,3,5,3,65,"6500,00%",OK,65.00%
1,Male,3,3,3,1,1,2,4,5,50,"5000,00%",OK,50.00%
0,Female,3,1,5,1,1,1,1,2,70,"7000,00%",OK,70.00%
0,Female,3,2,5,1,1,2,4,4,90,"9000,00%",OK,90.00%
1,Male,3,2,2,1,1,2,5,4,90,"9000,00%",OK,90.00%
1,Male,3,1,4,2,1,1,3,4,70,"7000,00%",OK,70.00%
0,Female,3,1,2,1,1,2,3,2,65,"6500,00%",OK,65.00%
1,Male,3,4,1,3,1,2,5,3,75,"7500,00%",OK,75.00%
0,Female,3,2,3,1,1,2,4,4,80,"8000,00%",OK,80.00%
1,Male,3,1,3,1,1,1,4,1,65,"6500,00%",OK,65.00%
1,Male,3,0,0,0,0,1,2,2,92.6,"9260,00%",OK,92.60%
1,Male,3,0,0,0,0,2,3,1,50,"5000,00%",OK,50.00%
0,Female,3,1,3,1,1,1,3,3,53,"5300,00%",OK,53.00%
0,Female,3,1,5,1,1,2,4,2,90,"9000,00%",OK,90.00%
0,Female,3,1,5,2,1,2,3,3,80,"8000,00%",OK,80.00%
1,Male,3,3,4,3,1,1,3,3,50,"5000,00%",OK,50.00%
1,Male,3,1,5,1,1,2,2,3,75,"7500,00%",OK,75.00%
1,Male,3,4,3,3,1,2,2,2,75,"7500,00%",OK,75.00%
1,Male,4,3,5,2,1,3,5,6,90,"9000,00%",OK,90.00%
0,Female,4,0,0,0,0,2,3,4,70,"7000,00%",OK,70.00%
0,Female,4,0,0,0,0,2,4,3,85,"8500,00%",OK,85.00%
0,Female,4,0,0,0,0,2,2,2,77.5,"7750,00%",OK,77.50%
1,Male,4,4,3,3,1,4,4,4,80,"8000,00%",OK,80.00%
1,Male,4,0,0,0,0,1,3,3,60,"6000,00%",OK,60.00%
0,Female,4,1,2,2,1,1,2,2,72,"7200,00%",OK,72.00%
0,Female,4,0,0,0,0,2,5,3,80,"8000,00%",OK,80.00%
0,Female,4,0,0,0,0,3,4,5,80,"8000,00%",OK,80.00%
0,Female,4,0,0,0,0,2,3,4,70,"7000,00%",OK,70.00%
0,Female,4,0,0,0,0,2,4,4,89,"8900,00%",OK,89.00%
0,Female,4,0,0,0,0,3,3,2,80,"8000,00%",OK,80.00%
1,Male,4,0,0,0,0,1,3,3,70,"7000,00%",OK,70.00%
1,Male,4,1,4,1,1,4,3,4,75,"7500,00%",OK,75.00%
0,Female,4,0,0,0,0,3,5,4,87,"8700,00%",OK,87.00%
